graphId,src,dst
0,5046,5045
0,5045,5046
0,5048,1058529
0,1058529,5048
0,1058529,1058511
0,1058511,1058529
0,1058529,1058518
0,1058518,1058529
0,1058529,1058528
0,1058528,1058529
0,1058529,1058544
0,1058544,1058529
0,5050,5049
0,5049,5050
0,1058508,1058507
0,1058507,1058508
0,1058508,3798579
0,3798579,1058508
0,1058534,5055
0,5055,1058534
0,1058534,1058539
0,1058539,1058534
0,1058534,1058519
0,1058519,1058534
0,1058534,5051
0,5051,1058534
0,1058534,1058535
0,1058535,1058534
0,1058534,1058549
0,1058549,1058534
0,1058539,1058536
0,1058536,1058539
0,1058539,1058515
0,1058515,1058539
0,1058539,1058519
0,1058519,1058539
0,1058539,1058545
0,1058545,1058539
0,5060,1058515
0,1058515,5060
0,1058518,3798577
0,3798577,1058518
0,1058519,1058532
0,1058532,1058519
0,1058525,1058532
0,1058532,1058525
0,1058532,1058530
0,1058530,1058532
0,1058532,1058531
0,1058531,1058532
0,1058532,1058541
0,1058541,1058532
0,1058535,3798575
0,3798575,1058535
0,1058541,1058540
0,1058540,1058541
0,1058541,3798576
0,3798576,1058541
0,1058545,1058544
0,1058544,1058545
0,3798578,1058548
0,1058548,3798578
1,5071,1023838
1,1023838,5071
1,1023838,5077
1,5077,1023838
1,1023838,5088
1,5088,1023838
1,1023841,1023836
1,1023836,1023841
1,1023841,5074
1,5074,1023841
1,1023841,5075
1,5075,1023841
1,1023841,5076
1,5076,1023841
1,1023841,5085
1,5085,1023841
1,1023841,1023823
1,1023823,1023841
1,1023841,5077
1,5077,1023841
1,1023836,5089
1,5089,1023836
1,5080,1023819
1,1023819,5080
1,1023819,5081
1,5081,1023819
1,1023819,5082
1,5082,1023819
1,1023819,5083
1,5083,1023819
1,1023819,5084
1,5084,1023819
1,5090,5069
1,5069,5090
2,1060246,1060286
2,1060286,1060246
2,1060246,5106
2,5106,1060246
2,1060286,1060253
2,1060253,1060286
2,1060286,1060245
2,1060245,1060286
2,5097,5096
2,5096,5097
2,5096,1060282
2,1060282,5096
2,5099,5098
2,5098,5099
2,5098,1060251
2,1060251,5098
2,5098,1060282
2,1060282,5098
2,1060251,1060298
2,1060298,1060251
2,5104,5103
2,5103,5104
2,1060282,5091
2,5091,1060282
2,1060282,1060281
2,1060281,1060282
2,1060282,1060252
2,1060252,1060282
2,1060282,1060242
2,1060242,1060282
2,1060282,1060247
2,1060247,1060282
2,5106,5107
2,5107,5106
2,5106,5108
2,5108,5106
2,5106,5109
2,5109,5106
2,5106,5110
2,5110,5106
2,1060270,1060269
2,1060269,1060270
2,1060270,1060287
2,1060287,1060270
2,1060269,5114
2,5114,1060269
2,1060269,5115
2,5115,1060269
2,1060269,1060277
2,1060277,1060269
2,1060269,1060288
2,1060288,1060269
2,1060269,1060293
2,1060293,1060269
2,1060269,1060300
2,1060300,1060269
2,1060269,1060301
2,1060301,1060269
2,1060274,5092
2,5092,1060274
2,1060274,5093
2,5093,1060274
2,1060274,1060261
2,1060261,1060274
2,1060274,1060292
2,1060292,1060274
2,1060281,1060242
2,1060242,1060281
2,5118,5117
2,5117,5118
2,5118,5119
2,5119,5118
2,1060261,1060295
2,1060295,1060261
2,1060291,1060290
2,1060290,1060291
2,1060290,1060294
2,1060294,1060290
2,1060242,1060248
2,1060248,1060242
2,1060295,1060299
2,1060299,1060295
2,1060297,1060296
2,1060296,1060297
3,5123,1060303
3,1060303,5123
3,1060303,1060324
3,1060324,1060303
3,1060303,1060316
3,1060316,1060303
3,1060307,1060306
3,1060306,1060307
3,1060307,1060337
3,1060337,1060307
3,1060310,1060318
3,1060318,1060310
3,1060310,1060322
3,1060322,1060310
3,1060310,1060337
3,1060337,1060310
3,1060310,1060311
3,1060311,1060310
3,1060318,1060311
3,1060311,1060318
3,1060311,5138
3,5138,1060311
3,5132,1060316
3,1060316,5132
3,1060316,1060324
3,1060324,1060316
3,5136,5135
3,5135,5136
4,1060359,5142
4,5142,1060359
4,1060359,5150
4,5150,1060359
4,1060359,1060378
4,1060378,1060359
4,3798574,1060345
4,1060345,3798574
4,1060345,1060364
4,1060364,1060345
4,1060345,1060360
4,1060360,1060345
4,1060350,1060363
4,1060363,1060350
4,1060350,1060368
4,1060368,1060350
4,1060364,1060360
4,1060360,1060364
4,1060366,1060365
4,1060365,1060366
4,1060365,1060376
4,1060376,1060365
4,1060368,1060348
4,1060348,1060368
4,1060368,1060369
4,1060369,1060368
4,1060368,1060370
4,1060370,1060368
4,1060368,1060342
4,1060342,1060368
4,1060348,1060360
4,1060360,1060348
4,1060360,1060367
4,1060367,1060360
4,1060360,1060371
4,1060371,1060360
4,1060367,1060373
4,1060373,1060367
4,1060374,1060362
4,1060362,1060374
4,1060351,1060375
4,1060375,1060351
4,1060371,1060377
4,1060377,1060371
5,1023954,1023953
5,1023953,1023954
5,1023954,5164
5,5164,1023954
5,1023954,1023984
5,1023984,1023954
5,5160,5158
5,5158,5160
5,5160,5161
5,5161,5160
5,5158,5159
5,5159,5158
5,1023967,1023966
5,1023966,1023967
5,1023967,1023996
5,1023996,1023967
5,1023967,1023995
5,1023995,1023967
5,1023984,5165
5,5165,1023984
5,1023984,1023983
5,1023983,1023984
5,1023984,1023976
5,1023976,1023984
5,1023984,1023972
5,1023972,1023984
5,1023984,1023985
5,1023985,1023984
5,1023984,1023986
5,1023986,1023984
5,1023984,1023990
5,1023990,1023984
5,1023984,1023975
5,1023975,1023984
5,1023984,1023988
5,1023988,1023984
5,1023984,1023993
5,1023993,1023984
5,1023983,1023972
5,1023972,1023983
5,1023972,1023991
5,1023991,1023972
5,1023986,1023987
5,1023987,1023986
5,1023993,1023970
5,1023970,1023993
5,1023994,1023970
5,1023970,1023994
5,1023997,1023957
5,1023957,1023997
6,1060382,5172
6,5172,1060382
6,1060382,1060424
6,1060424,1060382
6,1060412,1060383
6,1060383,1060412
6,1060412,1060380
6,1060380,1060412
6,1060412,1060394
6,1060394,1060412
6,1060412,1060408
6,1060408,1060412
6,1060412,1060419
6,1060419,1060412
6,1060412,1060421
6,1060421,1060412
6,1060412,1060422
6,1060422,1060412
6,1060412,1060423
6,1060423,1060412
6,1060412,1060429
6,1060429,1060412
6,1060412,1060401
6,1060401,1060412
6,1060412,1060406
6,1060406,1060412
6,1060383,1060426
6,1060426,1060383
6,1060383,1060386
6,1060386,1060383
6,1060386,1060385
6,1060385,1060386
6,1060386,5178
6,5178,1060386
6,1060386,1060411
6,1060411,1060386
6,5179,5178
6,5178,5179
6,1060390,1060389
6,1060389,1060390
6,1060389,5185
6,5185,1060389
6,1060389,1060413
6,1060413,1060389
6,1060380,1060423
6,1060423,1060380
6,1060394,1060418
6,1060418,1060394
6,5184,1060401
6,1060401,5184
6,1060401,1060420
6,1060420,1060401
6,1060401,1060427
6,1060427,1060401
6,1060401,1060430
