graph_id,src,dst
0,6,5
0,5,6
0,7,21
0,21,7
0,21,15
0,15,21
0,21,17
0,17,21
0,21,20
0,20,21
0,21,31
0,31,21
0,9,8
0,8,9
0,14,13
0,13,14
0,14,4
0,4,14
0,25,11
0,11,25
0,25,28
0,28,25
0,25,18
0,18,25
0,25,10
0,10,25
0,25,26
0,26,25
0,25,34
0,34,25
0,28,27
0,27,28
0,28,16
0,16,28
0,28,18
0,18,28
0,28,32
0,32,28
0,12,16
0,16,12
0,17,2
0,2,17
0,18,24
0,24,18
0,19,24
0,24,19
0,24,22
0,22,24
0,24,23
0,23,24
0,24,30
0,30,24
0,26,0
0,0,26
0,30,29
0,29,30
0,30,1
0,1,30
0,32,31
0,31,32
0,3,33
0,33,3
1,2,15
1,15,2
1,15,7
1,7,15
1,15,16
1,16,15
1,17,12
1,12,17
1,17,4
1,4,17
1,17,5
1,5,17
1,17,6
1,6,17
1,17,14
1,14,17
1,17,3
1,3,17
1,17,7
1,7,17
1,12,19
1,19,12
1,8,0
1,0,8
1,0,9
1,9,0
1,0,10
1,10,0
1,0,11
1,11,0
1,0,13
1,13,0
1,18,1
1,1,18
2,2,15
2,15,2
2,2,39
2,39,2
2,15,7
2,7,15
2,15,1
2,1,15
2,34,33
2,33,34
2,33,14
2,14,33
2,36,35
2,35,36
2,35,5
2,5,35
2,35,14
2,14,35
2,5,26
2,26,5
2,38,37
2,37,38
2,14,30
2,30,14
2,14,13
2,13,14
2,14,6
2,6,14
2,14,0
2,0,14
2,14,3
2,3,14
2,39,40
2,40,39
2,39,41
2,41,39
2,39,42
2,42,39
2,39,43
2,43,39
2,10,9
2,9,10
2,10,16
2,16,10
2,9,44
2,44,9
2,9,45
2,45,9
2,9,12
2,12,9
2,9,17
2,17,9
2,9,21
2,21,9
2,9,28
2,28,9
2,9,29
2,29,9
2,11,31
2,31,11
2,11,32
2,32,11
2,11,8
2,8,11
2,11,20
2,20,11
2,13,0
2,0,13
2,47,46
2,46,47
2,47,48
2,48,47
2,8,23
2,23,8
2,19,18
2,18,19
2,18,22
2,22,18
2,0,4
2,4,0
2,23,27
2,27,23
2,25,24
2,24,25
3,1,4
3,4,1
3,4,2
3,2,4
3,4,13
3,13,4
3,8,9
3,9,8
3,8,10
3,10,8
3,11,14
3,14,11
3,11,0
3,0,11
3,11,10
3,10,11
3,11,12
3,12,11
3,14,12
3,12,14
3,12,7
3,7,12
3,3,13
3,13,3
3,13,2
3,2,13
3,5,6
3,6,5
4,0,14
4,14,0
4,0,19
4,19,0
4,0,18
4,18,0
4,20,22
4,22,20
4,22,4
4,4,22
4,22,1
4,1,22
4,24,3
4,3,24
4,24,8
4,8,24
4,4,1
4,1,4
4,6,5
4,5,6
4,5,15
4,15,5
4,8,23
4,23,8
4,8,9
4,9,8
4,8,10
4,10,8
4,8,21
4,21,8
4,23,1
4,1,23
4,1,7
4,7,1
4,1,11
4,11,1
4,7,12
4,12,7
4,13,2
4,2,13
4,25,16
4,16,25
4,11,17
4,17,11
5,7,6
5,6,7
5,7,4
5,4,7
5,7,16
5,16,7
5,2,0
5,0,2
5,2,3
5,3,2
5,0,1
5,1,0
5,10,9
5,9,10
5,10,26
5,26,10
5,10,25
5,25,10
5,16,5
5,5,16
5,16,15
5,15,16
5,16,14
5,14,16
5,16,12
5,12,16
5,16,17
5,17,16
5,16,18
5,18,16
5,16,21
5,21,16
5,16,13
5,13,16
5,16,20
5,20,16
5,16,23
5,23,16
5,15,12
5,12,15
5,12,22
5,22,12
5,18,19
5,19,18
5,23,11
5,11,23
5,24,11
5,11,24
5,27,8
5,8,27
6,1,9
6,9,1
6,1,36
6,36,1
6,16,2
6,2,16
6,16,0
6,0,16
6,16,7
6,7,16
6,16,12
6,12,16
6,16,31
6,31,16
6,16,24
6,24,16
6,16,32
6,32,16
6,16,41
6,41,16
6,16,39
6,39,16
6,16,8
6,8,16
6,16,10
6,10,16
6,2,29
6,29,2
6,2,4
6,4,2
6,4,3
6,3,4
6,4,13
6,13,4
6,4,14
6,14,4
6,15,13
6,13,15
6,6,5
6,5,6
6,5,21
6,21,5
6,5,17
6,17,5
6,0,41
6,41,0
6,7,38
6,38,7
6,19,8
6,8,19
6,8,23
6,23,8
6,8,30
6,30,8
6,8,33
6,33,8
6,8,34
6,34,8
6,22,25
6,25,22
6,11,10
6,10,11
6,12,20
6,20,12
6,18,26
6,26,18
6,14,27
6,27,14
6,31,24
6,24,31
6,24,35
6,35,24
6,28,36
6,36,28
6,37,40
6,40,37
7,10,25
7,25,10
7,25,19
7,19,25
7,25,20
7,20,25
7,25,22
7,22,25
7,25,0
7,0,25
7,25,9
7,9,25
7,25,14
7,14,25
7,25,7
7,7,25
7,12,11
7,11,12
7,12,34
7,34,12
7,12,28
7,28,12
7,11,16
7,16,11
7,11,17
7,17,11
7,11,6
7,6,11
7,27,30
7,30,27
7,27,26
7,26,27
7,27,31
7,31,27
7,27,4
7,4,27
7,30,26
7,26,30
7,15,14
7,14,15
7,15,4
7,4,15
7,15,22
7,22,15
7,22,21
7,21,22
7,22,3
7,3,22
7,24,23
7,23,24
7,28,13
7,13,28
7,29,18
7,18,29
7,29,3
7,3,29
7,29,5
7,5,29
7,33,32
7,32,33
7,2,1
7,1,2
7,3,8
7,8,3
8,27,26
8,26,27
8,26,15
8,15,26
8,26,14
8,14,26
8,29,28
8,28,29
8,2,1
8,1,2
8,1,16
8,16,1
8,30,3
8,3,30
8,32,31
8,31,32
8,5,33
8,33,5
8,5,8
8,8,5
8,5,9
8,9,5
8,34,6
8,6,34
8,10,9
8,9,10
8,9,19
8,19,9
8,9,25
8,25,9
8,12,11
8,11,12
8,12,4
8,4,12
8,17,7
8,7,17
8,17,20
8,20,17
8,17,22
8,22,17
8,7,21
8,21,7
8,20,21
8,21,20
8,18,13
8,13,18
8,13,23
8,23,13
8,24,0
8,0,24
9,24,23
9,23,24
9,24,18
9,18,24
9,24,19
9,19,24
9,23,22
9,22,23
9,23,38
9,38,23
9,12,11
9,11,12
9,12,13
9,13,12
9,12,21
9,21,12
9,21,20
9,20,21
9,21,22
9,22,21
9,21,14
9,14,21
9,21,37
9,37,21
9,14,13
9,13,14
9,14,15
9,15,14
9,13,31
9,31,13
9,13,33
9,33,13
9,13,34
9,34,13
9,25,3
9,3,25
9,25,16
9,16,25
9,25,28
9,28,25
9,25,2
9,2,25
9,15,4
9,4,15
9,16,27
9,27,16
